p1,p2,ibd1
AMJI031334,AFWO3425,0
AMJI031334,AFWO3426,0.235
AMJI031334,AFWO3427,0.043
AMJI031334,AFWO3428,0
AMJI031334,AFWO3429,0.043
AMJI031334,AFWO3430,0.091
AMJI031334,AFWO3431,0.139
AMJI031334,AFWO3432,0
AMJI031334,AFWO3433,0.043
AMJI031334,AFWO3434,0.187
AMJI031334,AFWO3435,0.569
AMJI031334,AFWO3436,0.235
AMJI031334,AFWO3437,0
AMJI031334,AFWO3438,0
AMJI031334,AFWO3439,0.043
AMJI031334,AFWO3440,0
AMJI031334,AFWO3441,0.043
AMJI031334,AFWO3442,0.043
AMJI031334,AFWO3443,0.043
AMJI031334,AFWO3444,0
AMJI031334,AMHA1701,0
AMJI031334,AMHA1702,0.091
AMJI031334,AMHA1703,0.187
AMJI031334,AMHA1704,0
AMJI031334,AMHA1705,0
AMJI031334,AMHA1706,0
AMJI031334,AMHA1707,0.282
AMJI031334,AMHA1708,0.235
AMJI031334,AMHA4853,0
AMJI031334,AMHA4854,0.187
AMJI031334,AMHA4855,0.235
AMJI031334,AMHA4856,0
AMJI031334,AMHA4857,0.426
AMJI031334,TGSH4238,0
AMJI031334,AMHA485,0.091
AMJI031334,TGSH4239,0.474
AMJI031334,TGSH4240,0.091
AMJI031334,TGSH4241,0.139
AMJI031334,TGSH4242,0.235
AMJI031334,TGSH4243,0.617
AMJI031334,TGSH4244,0
AMJI031334,TGSH4245,0.235
AMJI031334,TGSH4246,0.139
AMJI031334,TGSH4247,0.33
AMJI031334,TGSH4248,0
AMJI031334,TGSH4249,0.378
AMJI031334,TGSH4250,0.139
AMJI031334,TGSH4251,0.091
AMJI031334,TGSH4252,0.235
AMJI031334,TGSH4253,0.426
AMJI031334,TGSH4254,0.378
AMJI031334,TGSH4255,0.235
AMJI031334,TGSH4256,0.378
AMJI031334,TGSH4257,0.33
AMJI031334,TGSH4258,0.235
AMJI031334,SILR5500,0.187
AMJI031334,SILR5501,0.187
AMJI031334,SILR5502,0.043
AMJI031334,SILR5503,0.139
AMJI031334,SILR5504,0.33
AMJI031334,SILR5505,0.139
AMJI031334,SILR5506,0
AMJI031334,SILR5507,0.043
AMJI031334,SILR5508,0
AMJI031334,SILR5509,0
AMJI031334,SILR5510,0.139
AMJI031334,SILR5511,0
AMJI031334,SILR5512,0
AMJI031334,SILR5513,0.282
AMJI031334,SILR5514,0.282
AMJI031334,SILR5515,0
AMJI031334,SILR5516,0
AMJI031334,SILR5517,0
AMJI031334,SILR5518,0.139
AMJI031334,SILR5519,0.091
AMJI031334,SILR5520,0.282
AMJI031334,SILR5521,0.282
AMJI031334,Phem12,0.282
AMJI031334,Phem13,0.474
AMJI031334,Phem14,0.426
AMJI031334,Phem15,0.426
AMJI031334,DILE6074,0.474
AMJI031334,DILE6076,0.33
AMJI031334,DILE6076,0.33
AMJI031334,DILE6078,0.569
AMJI031334,DILE6079,0
AMJI031334,DILE6080,0
AMJI031334,DILE6081,0.378
AMJI031334,DILE6082,0.378
AMJI031334,DILE6083,0.091
AMJI031334,DILE6084,0.139
AMJI031334,DILE6085,0.282
AMJI031334,DILE6086,0.139
AMJI031334,DILE6087,0.091
AMJI031334,DILE6088,0
AMJI031334,DILE6089,0
AMJI031334,DILE6090,0.187
AMJI031334,DILE6091,0.235
AMJI031334,DILE6092,0.282
AMJI031334,DILE6093,0.33
AMJI031334,DILE6094,0.474
AMJI031334,DILE6095,0.33
AMJI031334,DILE6096,0
AMJI031334,DILE6097,0
AMJI031334,DILE6098,0.187
AMJI031334,DILE6099,0.139
AMJI031334,DILE6071,0.187
AMJI031334,DILE6072,0.187
AMJI031334,DILE6073,0
AMJI031334,AMWO031582,0
AMJI031334,AMWO031583,0.187
AMJI031334,AMWO031584,0.091
AMJI031334,AMWO031585,0.474
AMJI031334,AMWO031586,0.33
AMJI031334,AMWO031587,0.522
AMJI031334,DILE6100,0
AMJI031334,GAAB2301,0.139
AMJI031334,GAAB2302,0.043
AMJI031334,GAAB2303,0.139
AMJI031334,GAAB2304,0
AMJI031334,GAAB2305,0.474
AMJI031334,GAAB2306,0
AMJI031334,GAAB2307,0.569
