"p1","p2","ibd1"
"AMJI031333","AMAN030993",0.431
"AMJI031333","AMAN030992",0.431
"AMJI031333","AMAN030991",0.431
"AMJI031333","AMAN030990",0.431
"AMJI031333","AMAN030989",0.431
"AMJI031333","AMAN030988",0.431
"AMJI031333","AMAN030987",0.431
"AMJI031333","AMAN030986",0.431
"AMJI031333","AMAN030985",0.384
"AMJI031333","AMAN030984",0.431
"AMJI031333","AMAN030983",0.004
"AMJI031333","AMAN030982",0
"AMJI031333","AMAN030981",0
"AMJI031333","AMAN030980",0.099
"AMJI031333","AMAN030979",0.099
"AMJI031333","AMAN030978",0.241
"AMJI031333","AMAN030977",0.289
"AMJI031333","AMAN030976",0.052
"AMJI031333","AMAN030975",0.052
"AMJI031333","AMAN030974",0.147
"AMJI031333","AMAN030973",0.147
"AMJI031333","AMAN030972",0.004
"AMJI031333","AMAN030971",0.147
"AMJI031333","AMAN030970",0
"AMJI031333","AMAN030969",0.336
"AMJI031333","AMAN030968",0.336
"AMJI031333","AMAN030967",0.336
"AMJI031333","AMAN030966",0.336
"AMJI031333","AMAN030965",0
"AMJI031333","AMAN030964",0.241
"AMJI031333","AMAN030963",0
"AMJI031333","AMAN030962",0
"AMJI031333","AMAN030961",0
"AMJI031333","AMAN030960",0
"AMJI031333","AMAN030959",0
"AMJI031333","AMAN030958",0.052
"AMJI031333","AMAN030957",0.147
"AMJI031333","AMAN030956",0.004
"AMJI031333","AMAN030955",0
"AMJI031333","AMAN030954",0
"AMJI031333","AMAN030953",0.099
"AMJI031333","AMAN030952",0.336
"AMJI031333","AMAN030951",0.336
"AMJI031333","AMAN030950",0.384
"AMJI031333","AMAN030949",0.336
"AMJI031333","AMAN030948",0.336
"AMJI031333","AMAN030947",0.384
"AMJI031333","AMAN030946",0.336
"AMJI031333","AMAN030945",0
"AMJI031333","AMAN030944",0.336
"AMJI031333","AMAN030943",0.099
"AMJI031333","AMAN030942",0
"AMJI031333","AMAN030941",0
"AMJI031333","AMAN030940",0
"AMJI031333","AMAN030939",0.289
"AMJI031333","AMAN030938",0
"AMJI031333","AMAN030937",0
"AMJI031333","AMAN030936",0.099
"AMJI031333","AMAN030935",0
"AMJI031333","AMAN030934",0.052
"AMJI031333","AMAN030933",0.621
"AMJI031333","AMAN030932",0
"AMJI031333","AMAN030931",0.194
"AMJI031333","AMAN030930",0
"AMJI031333","AMAN030929",0.194
"AMJI031333","AFWO3444",0.384
"AMJI031333","AFWO3443",0.431
"AMJI031333","AFWO3442",0.431
"AMJI031333","AFWO3441",0.431
"AMJI031333","AFWO3440",0.384
"AMJI031333","AFWO3439",0.431
"AMJI031333","AFWO3438",0.194
"AMJI031333","AFWO3437",0
"AMJI031333","AFWO3436",0.526
"AMJI031333","AFWO3435",0.099
"AMJI031333","AFWO3434",0.478
"AMJI031333","AFWO3433",0.336
"AMJI031333","AFWO3432",0.004
"AMJI031333","AFWO3431",0.336
"AMJI031333","AFWO3430",0.384
"AMJI031333","AFWO3429",0.241
"AMJI031333","AFWO3428",0.194
"AMJI031333","AFWO3427",0.241
"AMJI031333","AFWO3426",0.526
"AMJI031333","AFWO3425",0
"AMJI031333","AFWO3424",0.099
"AMJI031333","AFWO3423",0.336
"AMJI031333","AFWO3422",0.099
"TGYE3710","TGYE3709",0.004
"TGYE3710","TGYE3708",0
"TGYE3710","TGYE3707",0
"TGYE3710","TGYE3706",0
"TGYE3710","TGYE3705",0
"TGYE3710","TGYE3704",0
